Weapon URL Name,Number of Rivens,Rank
felarx,2104,1
ogris,1951,2
boar,1905,3
strun,1895,4
latron,1805,5
torid,1789,6
vectis,1709,7
arca_plasmor,1659,8
zenith,1633,9
glaive,1614,10
rubico,1599,11
ocucor,1559,12
phantasma,1524,13
dual_toxocyst,1520,14
acceltra,1462,15
burston,1345,16
hek,1310,17
tenet_envoy,1293,18
kuva_bramma,1288,19
zarr,1265,20
boltor,1262,21
ceramic_dagger,1215,22
skana,1210,23
tonkor,1203,24
shedu,1178,25
cedo,1171,26
akarius,1133,27
kohm,1125,28
bubonico,1119,29
dual_ichor,1111,30
dread,1077,31
nikana,1067,32
ignis,1030,33
soma,1022,34
nukor,1019,35
phenmor,1012,36
hate,980,37
kronen,979,38
cerata,975,39
knell,974,40
fulmin,974,40
braton,971,41
corinth,969,42
nataruk,969,42
lanka,913,43
sporelacer,896,44
laetum,881,45
redeemer,880,46
catchmoon,876,47
opticor,867,48
convectrix,860,49
phage,853,50
kuva_chakkhurr,844,51
balla,825,52
miter,817,53
vermisplicer,805,54
astilla,798,55
bo,798,55
atomos,791,56
lex,791,56
lenz,785,57
tigris,776,58
pyrana,774,59
magistar,769,60
guandao,765,61
tenet_diplos,763,62
amprex,732,63
furis,712,64
tombfinger,705,65
nami_solo,698,66
catabolyst,697,67
stahlta,696,68
epitaph,694,69
paris,689,70
pennant,687,71
trumna,675,72
venka,670,73
dual_keres,666,74
cycron,664,75
velocitus,651,76
sobek,646,77
gorgon,638,78
nami_skyla,637,79
sepfahn,623,80
synapse,622,81
stropha,619,82
perigale,613,83
lato,602,84
sporothrix,590,85
drakgoon,587,86
plague_kripath,587,86
gram,586,87
kronsh,583,88
reaper_prime,580,89
tiberon,576,90
tekko,575,91
tenet_livia,575,91
rattleguts,573,92
syam,572,93
cernos,560,94
quassus,559,95
snipetron,557,96
dragon_nikana,554,97
gaze,552,98
vulkar,549,99
exergis,549,99
dokrahm,548,100
detron,547,101
broken_war,542,102
plinx,537,103
fragor,536,104
rabvee,530,105
proboscis_cernos,528,106
basmu,524,107
angstrum,522,108
kompressa,507,109
praedos,506,110
flux_rifle,502,111
plague_keewar,502,111
mutalist_cernos,499,112
despair,498,113
daikyu,496,114
skiajati,492,115
baza,491,116
tatsu,482,117
amphis,472,118
ohma,471,119
tetra,471,119
verglas,470,120
gammacor,467,121
xoris,459,122
akjagara,451,123
euphona_prime,449,124
glaxion,446,125
sybaris,438,126
ambassador,437,127
tenora,436,128
panthera,434,129
aeolak,433,130
vasto,429,131
falcor,428,132
nagantaka,426,133
aksomati,425,134
ooltha,425,134
battacor,425,134
zylok,425,134
hind,422,135
hespar,421,136
steflos,418,137
quanta,416,138
zhuge,415,139
ferrox,414,140
pandero,414,140
paracesis,412,141
stradavar,410,142
supra,407,143
cyath,405,144
innodem,405,144
sibear,404,145
karak,399,146
buzlok,398,147
quellor,395,148
gotva_prime,394,149
anku,391,150
dehtat,389,151
furax,387,152
gunsen,385,153
hema,385,153
jaw_sword,384,154
rauta,383,155
hystrix,381,156
arca_titron,380,157
karyst,379,158
quartakk,377,159
war,373,160
silva_and_aegis,370,161
azothane,369,162
orthos,364,163
kuva_twin_stubbas,363,164
brakk,362,165
ether_daggers,361,166
scourge,360,167
tenet_spirex,360,167
athodai,358,168
akstiletto,356,169
wolf_sledge,355,170
komorex,355,170
caustacyst,354,171
dual_ether,354,171
mewan,350,172
zenistar,350,172
cinta,346,173
dakra_prime,346,173
grinlok,345,174
ankyros,343,175
grakata,339,176
bronco,339,176
masseter,338,177
ninkondi,337,178
destreza,337,178
pangolin_sword,334,179
attica,334,179
corufell,334,179
boltace,332,180
penta,330,181
tenet_grigori,328,182
akbolto,328,182
simulor,327,183
kuva_shildeg,327,183
corvas,324,184
paracyst,322,185
dual_kamas,322,185
afuris,322,185
vastilok,319,186
akvasto,317,187
sun_and_moon,315,188
galatine,315,188
kesheg,314,189
ripkas,313,190
orvius,308,191
spectra,308,191
argonak,306,192
tipedo,305,193
sicarus,305,193
kunai,303,194
aklex,302,195
ack_and_brunt,301,196
staticor,301,196
dera,298,197
azima,298,197
alternox,297,198
sepulcrum,296,199
afentis,292,200
grimoire,287,201
mutalist_quanta,287,201
harpak,286,202
scindo,280,203
tysis,279,204
magnus,277,205
mire,276,206
lesion,275,207
lacera,270,208
javlok,269,209
pathocyst,269,209
fang,269,209
tenet_agendus,266,210
arca_scisco,266,210
spira,266,210
vitrica,266,210
lecta,264,211
atterax,264,211
ballistica,259,212
mausolon,259,212
zakti,256,213
machete,254,214
dual_skana,252,215
twin_grakatas,252,215
twin_gremlins,252,215
sigma_and_octantis,251,216
seer,251,216
volnus,251,216
scoliac,250,217
twin_krohkur,249,218
ether_sword,248,219
twin_rogga,248,219
arum_spinosa,247,220
tenet_exec,247,220
veldt,246,221
cronus,245,222
dark_sword,244,223
hikou,243,224
heliocor,243,224
dex_dakra,242,225
kraken,241,226
heat_sword,239,227
dual_cestra,238,228
akzani,238,228
kulstar,238,228
keratinos,236,229
akmagnus,235,230
pox,234,231
marelok,233,232
velox,233,232
dual_cleavers,233,232
castanas,232,233
cobra_and_crane,232,233
aklato,231,234
nepheri,230,235
sarpa,230,235
edun,230,235
twin_kohmak,228,236
dorrclave,225,237
ether_reaper,224,238
heat_dagger,224,238
vericres,222,239
plasma_sword,219,240
kuva_ayanga,219,240
akbronco,218,241
jat_kusar,218,241
dual_heat_swords,218,241
okina,215,242
twin_vipers,214,243
halikar,212,244
imperator,212,244
dual_raza,211,245
cyanex,211,245
kohmak,211,245
argo_and_vel,210,246
dark_split_sword_(dual_swords),210,246
krohkur,210,246
dual_zoren,209,247
bolto,206,248
aegrit,204,249
korumm,204,249
zymos,202,250
cassowar,200,251
tonbo,198,252
acrid,197,253
mios,197,253
sydon,195,254
kama,194,255
verdilac,194,255
obex,193,256
endura,192,257
broken_scepter,192,257
helstrum,191,258
dark_dagger,190,259
quatz,190,259
sarofang,190,259
embolist,189,260
sonicor,187,261
kogake,187,261
cestra,186,262
gazal_machete,185,263
serro,184,264
viper,181,265
venato,181,265
sheev,181,265
slaytra,179,266
burst_laser,179,266
shaku,179,266
jat_kittag,176,267
grattler,176,267
ghoulsaw,176,267
dual_decurion,175,268
galvacord,174,269
sampotes,174,269
stubba,174,269
korrudo,174,269
hirudo,173,270
talons,167,271
vulcax,166,272
kestrel,164,273
pupacyst,162,274
rumblejack,162,274
deth_machine_rifle,162,274
twin_basolk,158,275
cadus,158,275
fluctus,157,276
sweeper,157,276
fusilai,155,277
vulklok,155,277
cryotra,153,278
prova,150,279
stinger,146,280
stug,146,280
larkspur,144,281
pulmonars,143,282
kreska,143,282
ekhein,136,283
tazicor,132,284
artax,132,284
cyngas,129,285
laser_rifle,122,286
cortege,119,287
morgha,115,288
multron,113,289
deconstructor,108,290
phaedra,104,291
mandonel,72,292
lacerten,59,293
onos,55,294
akaten,50,295
batoten,47,296
ruvox,32,297
