Weapon URL Name,Average Buyout Rank,Riven Count Rank,Rank Gap,Average Buyout Price,Number of Rivens,Percentage Above Average Price,Percentage Above Average Frequency
syam,19,93.0,74.0,1346.049180327869,366.0,39.854166858460985,28.273752628560512
fragor,25,98.0,73.0,1255.5833333333333,348.0,30.45478840671375,21.965207417319828
kronsh,31,86.0,55.0,1221.748717948718,390.0,26.93938048941964,36.68514624354808
quassus,40,92.0,52.0,1108.655737704918,366.0,15.189048658539242,28.273752628560512
sobek,45,96.0,51.0,1085.685552407932,353.0,12.802452259058528,23.717581087108908
velocitus,9,56.0,47.0,1618.3434163701068,562.0,68.14546860181366,96.96680048429236
magistar,12,49.0,37.0,1580.884364820847,614.0,64.25348269053083,115.19148665009877
bo,16,52.0,36.0,1407.3937823834196,579.0,46.22785538123334,102.92487096157524
furis,27,62.0,35.0,1250.3953488372092,516.0,29.915758139481387,80.84496272223285
tenet_diplos,23,57.0,34.0,1291.8985765124555,562.0,34.227932919785296,96.96680048429236
stahlta,42,70.0,28.0,1105.6948453608247,485.0,14.881412698432719,69.98024596954056
pennant,39,63.0,24.0,1121.8791423001949,513.0,16.562957026623035,79.7935385203594
nami_solo,36,60.0,24.0,1140.551724137931,522.0,18.50303352173068,82.94781112597974
cycron,49,72.0,23.0,1055.9936170212766,470.0,9.717467737984439,64.72312496017332
convectrix,47,68.0,21.0,1068.6782786885246,488.0,11.035400853119448,71.03167017141402
lex,35,53.0,18.0,1141.8052173913043,575.0,18.63327115136211,101.52297202574397
dual_ichor,7,22.0,15.0,1684.138655462185,952.0,74.98157717864477,233.65194672784048
ceramic_dagger,4,17.0,13.0,2031.613595706619,1118.0,111.08413493232354,291.83075256483784
laetum,20,31.0,11.0,1331.780205655527,778.0,38.3716240257847,172.66934301918053
ocucor,2,9.0,7.0,2085.1770538243627,1412.0,116.64936458261792,394.87032434843564
burston,8,15.0,7.0,1641.5708333333334,1200.0,70.55879130587334,320.56968074937873
hate,24,29.0,5.0,1283.1274271844661,824.0,33.31661273952389,188.7911807812401
dual_toxocyst,6,10.0,4.0,1710.023880597015,1340.0,77.67104547451608,369.6361435034729
glaive,3,6.0,3.0,2034.6458055925432,1502.0,111.39918076685436,426.413050404639
torid,1,3.0,2.0,2610.351548269581,1647.0,171.2148607393476,477.23188682852236
skana,17,18.0,1.0,1396.314072693383,1073.0,45.07667636758374,276.05938953673615
phenmor,32,30.0,-2.0,1217.038036809816,815.0,26.44994191938424,185.63690817561974
nataruk,43,39.0,-4.0,1103.787061994609,742.0,14.68319449279217,160.05225259669916
zenith,21,12.0,-9.0,1328.7677616501146,1309.0,38.05863186120265,358.7714267507807
latron,14,4.0,-10.0,1461.4050064184853,1558.0,51.8396077962453,446.0396355062767
nikana,38,26.0,-12.0,1126.0866141732283,889.0,17.00011228215402,211.5720384884981
rubico,30,11.0,-19.0,1222.7673192771085,1328.0,27.04521290789657,365.43044669597913
vectis,28,8.0,-20.0,1241.9295676429567,1434.0,29.036165630506478,402.58076849550764
phantasma,46,16.0,-30.0,1069.1739130434783,1150.0,11.086897136309922,303.045944051488
ogris,34,2.0,-32.0,1193.1291273584907,1696.0,23.965812319457573,494.4051487924553
felarx,33,1.0,-32.0,1193.7956756756757,1850.0,24.03506651977447,548.3782578219589
verglas,5,,,1711.8765432098764,,77.86353664792807,
corvas,10,,,1607.2489795918368,,66.99275944744913,
ruvox,11,,,1590.6666666666667,,65.26986135974994,
arca_titron,13,,,1496.84388185654,,55.521697924321224,
akaten,15,,,1451.1333333333334,,50.77238357995294,
dual_decurion,18,,,1351.504854368932,,40.42101000120437,
onos,22,,,1311.84,,36.29984173900315,
spectra,26,,,1255.3882352941177,,30.43451777015086,
sporothrix,29,,,1236.9287925696594,,28.516586374604252,
angstrum,37,,,1133.5165165165165,,17.772077242458955,
corufell,41,,,1106.443820224719,,14.959230995950165,
grimoire,44,,,1103.2675159235669,,14.629213788392873,
kompressa,48,,,1064.2074303405573,,10.57088084895199,
furax,50,,,1054.2565445026178,,9.536986345907382,
